Ewe/V	I/mA
5.000000000000000E-001	0.000000000000000E+000
4.990000128746033E-001	-2.544888104694110E-007
4.979999959468842E-001	-5.376444178750717E-008
4.970000088214874E-001	-9.330648964578359E-008
4.959999918937683E-001	-6.872957669656898E-008
4.950000047683716E-001	-7.084420872160990E-008
4.939999878406525E-001	-6.690130760489410E-008
4.930000007152557E-001	-6.656766515789059E-008
4.920000135898590E-001	-6.609634084497884E-008
4.909999966621399E-001	-6.641583638611337E-008
4.900000095367432E-001	-6.703595545332064E-008
4.889999926090240E-001	-6.800197382972328E-008
4.880000054836273E-001	-6.922203255044224E-008
4.869999885559082E-001	-7.067404084182272E-008
4.860000014305115E-001	-7.232885934627120E-008
4.850000143051147E-001	-7.417045821966894E-008
4.839999973773956E-001	-7.618603348191755E-008
4.830000102519989E-001	-7.836715809617090E-008
4.819999933242798E-001	-8.070799850656840E-008
4.810000061988831E-001	-8.320490252344825E-008
4.799999892711639E-001	-8.585588773257768E-008
4.790000021457672E-001	-8.866027911835772E-008
4.779999852180481E-001	-9.161851721728453E-008
4.769999980926514E-001	-9.473193784970135E-008
4.760000109672546E-001	-9.800263711667867E-008
4.749999940395355E-001	-1.014333932403133E-007
4.740000069141388E-001	-1.050275670877454E-007
4.729999899864197E-001	-1.087890524331669E-007
4.720000028610229E-001	-1.127222262198302E-007
4.709999859333038E-001	-1.168319272437657E-007
4.699999988079071E-001	-1.211234206266454E-007
4.690000116825104E-001	-1.256023693940733E-007
4.679999947547913E-001	-1.302748415810129E-007
4.670000076293945E-001	-1.351473173372142E-007
4.659999907016754E-001	-1.402266320837953E-007
4.650000035762787E-001	-1.455200191458061E-007
4.639999866485596E-001	-1.510350671196647E-007
4.629999995231628E-001	-1.567798051382852E-007
4.620000123977661E-001	-1.627626176059493E-007
4.609999954700470E-001	-1.689922868308713E-007
4.600000083446503E-001	-1.754780072360518E-007
4.589999914169312E-001	-1.822294137809877E-007
4.580000042915344E-001	-1.892565393291079E-007
4.569999873638153E-001	-1.965698714911923E-007
4.560000002384186E-001	-2.041803526253716E-007
4.550000131130219E-001	-2.120993656262726E-007
4.539999961853027E-001	-2.203388191901468E-007
4.530000090599060E-001	-2.289110909714509E-007
4.519999921321869E-001	-2.378290986371212E-007
4.510000050067902E-001	-2.471062430231541E-007
4.499999880790710E-001	-2.567565502431535E-007
4.490000009536743E-001	-2.667945580014930E-007
4.480000138282776E-001	-2.772354434910085E-007
4.469999969005585E-001	-2.880949807604338E-007
4.460000097751617E-001	-2.993895407144009E-007
4.449999928474426E-001	-3.111362616436963E-007
4.440000057220459E-001	-3.233529071167141E-007
4.429999887943268E-001	-3.360579228228744E-007
4.420000016689301E-001	-3.492705502594617E-007
4.409999847412109E-001	-3.630108267316245E-007
4.399999976158142E-001	-3.772995000872470E-007
4.390000104904175E-001	-3.921582276689151E-007
4.379999935626984E-001	-4.076095478922070E-007
4.370000064373016E-001	-4.236767949805653E-007
4.359999895095825E-001	-4.403843547606812E-007
4.350000023841858E-001	-4.577575225539476E-007
4.339999854564667E-001	-4.758225884415879E-007
4.329999983310699E-001	-4.946069793732022E-007
4.320000112056732E-001	-5.141390602148022E-007
4.309999942779541E-001	-5.344485316527425E-007
4.300000071525574E-001	-5.555660891332082E-007
4.289999902248383E-001	-5.775237355010177E-007
4.280000030994415E-001	-6.003547241562046E-007
4.269999861717224E-001	-6.240937295842741E-007
4.259999990463257E-001	-6.487766199825273E-007
4.250000119209290E-001	-6.744407983205747E-007
4.239999949932098E-001	-7.011251454969170E-007
4.230000078678131E-001	-7.288701908692019E-007
4.219999909400940E-001	-7.577178280371299E-007
4.210000038146973E-001	-7.877118264332239E-007
4.199999868869781E-001	-8.188976039491536E-007
4.189999997615814E-001	-8.513224543094111E-007
4.180000126361847E-001	-8.850353765410546E-007
4.169999957084656E-001	-9.200875865644775E-007
4.160000085830688E-001	-9.565320624460583E-007
4.149999916553497E-001	-9.944239991455106E-007
4.140000045299530E-001	-1.033820922202722E-006
4.129999876022339E-001	-1.074782403520658E-006
4.120000004768372E-001	-1.117370402425877E-006
4.110000133514404E-001	-1.161649606729043E-006
4.099999964237213E-001	-1.207686977977573E-006
4.090000092983246E-001	-1.255552206202992E-006
4.079999923706055E-001	-1.305317823607766E-006
4.070000052452087E-001	-1.357059090878465E-006
4.059999883174896E-001	-1.410854451933119E-006
4.050000011920929E-001	-1.466785420234373E-006
4.039999842643738E-001	-1.524936578789493E-006
4.029999971389771E-001	-1.585395921210875E-006
4.020000100135803E-001	-1.648255079089722E-006
4.009999930858612E-001	-1.713609321996046E-006
4.000000059604645E-001	-1.781557330104988E-006
3.989999890327454E-001	-1.852202103691525E-006
3.980000019073486E-001	-1.925650622069952E-006
3.969999849796295E-001	-2.002013843593886E-006
3.959999978542328E-001	-2.081407501464128E-006
3.950000107288361E-001	-2.163951876354986E-006
3.939999938011169E-001	-2.249771796414279E-006
3.930000066757202E-001	-2.338997092010686E-006
3.919999897480011E-001	-2.431762595733744E-006
3.910000026226044E-001	-2.528209051888552E-006
3.899999856948853E-001	-2.628481979627395E-006
3.889999985694885E-001	-2.732733491939143E-006
3.880000114440918E-001	-2.841121158780879E-006
3.869999945163727E-001	-2.953808689198922E-006
3.860000073909760E-001	-3.070966840823530E-006
3.849999904632568E-001	-3.192772737747873E-006
3.840000033378601E-001	-3.319410552649060E-006
3.829999864101410E-001	-3.451071734161815E-006
3.819999992847443E-001	-3.587955461625825E-006
3.810000121593475E-001	-3.730268872459419E-006
3.799999952316284E-001	-3.878226834785892E-006
3.790000081062317E-001	-4.032052856928203E-006
3.779999911785126E-001	-4.191979769530008E-006
3.770000040531158E-001	-4.358249498181976E-006
3.759999871253967E-001	-4.531113063421799E-006
3.750000000000000E-001	-4.710831490228884E-006
3.740000128746033E-001	-4.897676262771711E-006
3.729999959468842E-001	-5.091930233902531E-006
3.720000088214874E-001	-5.293886715662666E-006
3.709999918937683E-001	-5.503849934029859E-006
3.700000047683716E-001	-5.722137757402379E-006
3.689999878406525E-001	-5.949079877609620E-006
3.680000007152557E-001	-6.185018264659448E-006
3.669999837875366E-001	-6.430309440474957E-006
3.659999966621399E-001	-6.685324024147121E-006
3.650000095367432E-001	-6.950446277187439E-006
3.639999926090240E-001	-7.226075922517339E-006
3.630000054836273E-001	-7.512629963457584E-006
3.619999885559082E-001	-7.810539500496816E-006
3.610000014305115E-001	-8.120254278765060E-006
3.599999845027924E-001	-8.442240869044326E-006
3.589999973773956E-001	-8.776984941505361E-006
3.580000102519989E-001	-9.124991265707649E-006
3.569999933242798E-001	-9.486783710599411E-006
3.560000061988831E-001	-9.862907063507009E-006
3.549999892711639E-001	-1.025392884912435E-005
3.540000021457672E-001	-1.066043660102878E-005
3.529999852180481E-001	-1.108304331864929E-005
3.519999980926514E-001	-1.152238473878242E-005
3.510000109672546E-001	-1.197912115458166E-005
3.499999940395355E-001	-1.245394105353625E-005
3.490000069141388E-001	-1.294755656999769E-005
3.479999899864197E-001	-1.346071076113731E-005
3.470000028610229E-001	-1.399417487846222E-005
3.459999859333038E-001	-1.454874927730998E-005
3.449999988079071E-001	-1.512526796432212E-005
3.440000116825104E-001	-1.572459586896002E-005
3.429999947547913E-001	-1.634763248148374E-005
3.420000076293945E-001	-1.699531276244670E-005
3.409999907016754E-001	-1.766860805219039E-005
3.400000035762787E-001	-1.836852425185498E-005
3.389999866485596E-001	-1.909611455630511E-005
3.379999995231628E-001	-1.985246672120411E-005
3.370000123977661E-001	-2.063871215796098E-005
3.359999954700470E-001	-2.145602775271982E-005
3.350000083446503E-001	-2.230563586635981E-005
3.339999914169312E-001	-2.318880615348462E-005
3.330000042915344E-001	-2.410685738141183E-005
3.319999873638153E-001	-2.506115924916230E-005
3.310000002384186E-001	-2.605313784442842E-005
3.299999833106995E-001	-2.708426836761646E-005
3.289999961853027E-001	-2.815609150275122E-005
3.280000090599060E-001	-2.927020250353962E-005
3.269999921321869E-001	-3.042825665033888E-005
3.260000050067902E-001	-3.163197834510356E-005
3.249999880790710E-001	-3.288315565441735E-005
3.240000009536743E-001	-3.418364212848246E-005
3.229999840259552E-001	-3.553537317202426E-005
3.219999969005585E-001	-3.694034967338666E-005
3.210000097751617E-001	-3.840065255644731E-005
3.199999928474426E-001	-3.991844278061762E-005
3.190000057220459E-001	-4.149596497882158E-005
3.179999887943268E-001	-4.313554381951690E-005
3.170000016689301E-001	-4.483960219658911E-005
3.159999847412109E-001	-4.661064667743631E-005
3.149999976158142E-001	-4.845128933084197E-005
3.140000104904175E-001	-5.036423681303859E-005
3.129999935626984E-001	-5.235229400568642E-005
3.120000064373016E-001	-5.441837492980994E-005
3.109999895095825E-001	-5.656551365973428E-005
3.100000023841858E-001	-5.879684249521233E-005
3.089999854564667E-001	-6.111562834121287E-005
3.079999983310699E-001	-6.352524360409006E-005
3.070000112056732E-001	-6.602920620935038E-005
3.059999942779541E-001	-6.863115413580090E-005
3.050000071525574E-001	-7.133485632948577E-005
3.039999902248383E-001	-7.414424908347428E-005
3.030000030994415E-001	-7.706337055424228E-005
3.019999861717224E-001	-8.009645534912124E-005
3.009999990463257E-001	-8.324786904267967E-005
3.000000119209290E-001	-8.652213728055358E-005
2.989999949932098E-001	-8.992396760731936E-005
2.980000078678131E-001	-9.345822036266327E-005
2.969999909400940E-001	-9.712995233712718E-005
2.960000038146973E-001	-1.009443876682781E-004
2.949999868869781E-001	-1.049069614964537E-004
2.939999997615814E-001	-1.090232835849747E-004
2.929999828338623E-001	-1.132991819758900E-004
2.919999957084656E-001	-1.177406738861464E-004
2.910000085830688E-001	-1.223540166392922E-004
2.899999916553497E-001	-1.271456858376041E-004
2.890000045299530E-001	-1.321223535342142E-004
2.879999876022339E-001	-1.372909609926865E-004
2.870000004768372E-001	-1.426586968591437E-004
2.859999835491180E-001	-1.482329680584371E-004
2.849999964237213E-001	-1.540214580018073E-004
2.840000092983246E-001	-1.600321265868843E-004
2.829999923706055E-001	-1.662731810938567E-004
2.820000052452087E-001	-1.727531198412180E-004
2.809999883174896E-001	-1.794807321857661E-004
2.800000011920929E-001	-1.864650839706883E-004
2.789999842643738E-001	-1.937155611813068E-004
2.779999971389771E-001	-2.012418699450791E-004
2.770000100135803E-001	-2.090539928758517E-004
